Year,Title,Director,Cast,Genre
1925,Chandrakant a.k.a. Filial Duty,Harshadrai Sakerlal Mehta,"haider,shah,ermeline,malika,nandram,gulab,gangaram",costume
1925,Chandrarao More,N. D. Sarpotdar,"n,d,baburao,potdar,dwarki,p,y,pendharkar,altekar,elizer",historical
1925,Charkha a.k.a. The Spinning Wheel a.k.a. Anath Abala,Kanjibhai Rathod,"madanrai,ermeline,vakil",social
1925,Chhatrapati Sambhaji,N. D. Sarpotdar,"d,jilloobai,billimoria,p,y,altekar,vedi,elizer",historical
1925,Child Widow a.k.a. Bal Vidhva,Behram Vasania,"diwana,harihar,heera",social
1925,Cinema Queen a.k.a. Cinema Ki Rani,Rajendra Raj Gaur,"shuklaji,sadique,master,nurjehan,mumtaz,shivrani,alaknanda,madhukar,mehtab,gupte,bachoo",social
1925,Devadasi a.k.a. The Bride Of God,Manilal Joshi,"b,fatma,prabhakar,athavale,raja,zubeida,begum,k,dabir,shahzadi,sandow",costume
1925,Devi Ahilyabai,Bhagwati Mishra,unknown,"devotional,historical"
1925,Dream Of Life a.k.a. Sansar Swapna,Homi Master,"marie,bachubhai,moti,miss,khalil",social
1925,Five Divine Wands a.k.a. Panchdanda,Chandulal Shah,"isdan,putli,yakbal,raja,ghory,sandow",fantasy
1925,For Mother's Sake a.k.a. Matri Prem,M. D. Bhavnani,"sandow,raja,moti",social
1925,Ghar Jamai a.k.a. Hen-pecked Husband,Homi Master,"putlibai,gohar,sidimiya",social
1925,Gaud Bangal a.k.a. Magicians Of Bengal a.k.a. Kamroo Deshni Kamini,K. P. Bhave,"vakil,fatma,jilloobai,begum,madanrai,elizer",unknown
1925,Gul-E-Anar a.k.a. 1001 Nights,Unknown,unknown,fantasy
